Station,Date,Rainfall
KININDIA334,12:15:2021,0.04
KININDIA334,12:16:2021,0.46
KININDIA334,12:17:2021,0.09
KININDIA334,12:18:2021,0.55
KININDIA334,12:19:2021,0.0
KININDIA334,12:20:2021,0.0
KININDIA334,12:21:2021,0.0
KININDIA334,12:22:2021,0.0
KININDIA334,12:23:2021,0.0
KININDIA334,12:24:2021,0.0
KININDIA334,12:25:2021,0.38
KININDIA334,12:26:2021,0.0
KININDIA334,12:27:2021,0.15
KININDIA334,12:28:2021,0.86
KININDIA334,12:29:2021,0.01
KININDIA334,12:30:2021,0.01
KININDIA334,12:31:2021,0.01
KININDIA334,01:01:2022,0.48
KININDIA334,01:02:2022,0.02
KININDIA334,01:03:2022,0.0
KININDIA334,01:04:2022,0.0
KININDIA334,01:05:2022,0.0
KININDIA334,01:06:2022,0.0
KININDIA334,01:07:2022,0.0
KININDIA334,01:08:2022,0.0
KININDIA334,01:09:2022,0.44
KININDIA334,01:10:2022,0.0
KININDIA334,01:12:2022,0.0
KININDIA334,01:13:2022,0.0
KININDIA334,01:14:2022,0.0
KININDIA334,01:15:2022,0.0
KININDIA334,01:16:2022,0.0
KININDIA334,01:17:2022,0.0
KININDIA334,01:18:2022,0.0
KININDIA334,01:19:2022,0.0
KININDIA334,01:20:2022,0.0
KININDIA334,01:21:2022,0.0
KININDIA334,01:22:2022,0.0
KININDIA334,01:23:2022,0.0
KININDIA334,01:24:2022,0.0
KININDIA334,01:25:2022,0.0
KININDIA334,01:26:2022,0.0
KININDIA334,01:27:2022,0.0
KININDIA334,01:28:2022,0.0
KININDIA334,01:29:2022,0.0
KININDIA334,01:30:2022,0.0
KININDIA334,01:31:2022,0.0
KININDIA334,02:01:2022,0.0
KININDIA334,02:02:2022,0.98
KININDIA334,02:03:2022,0.0
KININDIA334,02:04:2022,0.0
KININDIA334,02:05:2022,0.0
KININDIA334,02:07:2022,0.0
KININDIA334,02:08:2022,0.07
KININDIA334,02:09:2022,0.0
KININDIA334,02:10:2022,0.0
KININDIA334,02:11:2022,0.13
KININDIA334,02:12:2022,0.0
KININDIA334,02:13:2022,0.0
KININDIA334,02:14:2022,0.0
KININDIA334,02:16:2022,0.0
KININDIA334,02:17:2022,1.55
KININDIA334,02:18:2022,0.0
KININDIA334,02:19:2022,0.0
KININDIA334,02:20:2022,0.0
KININDIA334,02:21:2022,0.0
KININDIA334,02:22:2022,0.62
KININDIA334,02:23:2022,0.0
KININDIA334,02:24:2022,0.03
KININDIA334,02:25:2022,0.0
KININDIA334,02:26:2022,0.01
KININDIA334,02:27:2022,0.02
KININDIA334,02:28:2022,0.0
KININDIA334,03:01:2022,0.0
KININDIA334,03:02:2022,0.0
KININDIA334,03:03:2022,0.0
KININDIA334,03:04:2022,0.0
KININDIA334,03:05:2022,0.00
